id,dilemma_type,dilemma,advisor_type,counterbalancing,advisor_comparison_order,age,gender,attention,trust_baseline,trust_other_issues_baseline,empathy_baseline,competency_baseline,trust_overall,trust_other_issues_overall,empathy_overall,competency_overall,likely_human,surprised_AI,compare_trust_cons_deon,compare_trust_cons_util,compare_trust_norm_sens,compare_trust_non_norm_sens,compare_likely_human_cons_deon,compare_likely_human_cons_util,compare_likely_human_norm_sens,compare_likely_human_non_norm_sens,rank_likely_human_cons_deon,rank_likely_human_cons_util,rank_likely_human_norm_sens,rank_likely_human_non_norm_sens,own_judgement_baseline,own_judgement_irrelevant,own_judgement_relevant
91,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,21,Female,TikTok,4,3,5,4,4,2,5,4,6,6,6,4,5,2,6,6,6,6,2,4,1,3,3,3,5
92,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,25,Male,TikTok,5,6,3,6,2,2,1,3,1,1,6,2,2,2,6,2,2,2,1,4,2,3,1,1,1
93,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive,31,Female,TikTok,1,1,5,1,1,1,4,1,5,3,1,6,2,1,6,2,5,6,3,4,2,1,7,7,7
94,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,57,Female,TikTok,5,6,6,5,4,4,5,4,7,7,4,2,5,4,5,2,6,4,2,4,1,3,3,2,5
95,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,44,Female,TikTok,4,4,5,5,1,1,1,1,4,6,6,6,5,1,4,4,4,4,3,2,1,4,6,6,6
96,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,22,Prefer not to say,TikTok,1,1,1,1,2,2,2,2,1,1,5,2,5,1,4,1,5,5,3,4,2,1,2,2,4
97,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,78,Female,TikTok,2,2,2,2,3,3,3,3,2,1,6,2,3,4,7,1,3,5,1,4,3,2,1,1,1
98,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,58,Female,TikTok,6,6,2,6,6,6,1,6,1,1,7,2,5,1,1,2,3,7,1,4,3,2,1,1,7
99,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,50,Male,TikTok,6,6,6,6,6,6,6,6,5,3,6,3,5,1,5,3,6,4,2,3,1,4,1,1,2
100,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological,21,Male,TikTok,4,2,6,3,5,4,7,4,7,6,2,6,5,3,4,1,6,7,2,1,3,4,5,5,7
101,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,27,Male,TikTok,5,5,4,5,4,4,4,4,3,2,4,2,5,1,3,4,5,2,2,3,4,1,3,3,5
102,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,37,Female,TikTok,6,6,7,7,7,7,7,7,6,7,7,1,2,1,7,1,1,1,1,4,2,3,1,1,1
103,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive,42,Female,TikTok,3,3,1,3,4,4,3,4,2,2,3,3,3,3,3,2,2,3,2,4,1,3,4,4,4
104,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,25,Female,TikTok,4,4,3,4,4,4,4,4,4,4,5,3,5,1,4,4,4,4,2,3,1,4,4,4,4
105,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,41,Female,TikTok,1,1,1,1,1,1,1,1,3,1,7,1,2,1,7,2,1,5,1,4,3,2,1,1,1
106,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,54,Male,TikTok,4,4,4,4,4,4,4,4,1,1,5,4,4,4,7,1,2,1,3,1,2,4,1,1,1
107,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,51,Female,TikTok,6,5,6,5,5,4,4,4,4,3,4,4,5,2,4,4,6,1,2,3,1,4,2,2,4
108,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological,35,Male,TikTok,1,1,1,1,1,1,1,1,1,1,7,1,2,1,7,1,1,1,1,4,2,3,1,1,1
109,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,29,Male,TikTok,6,6,4,5,5,6,3,5,6,4,3,4,6,5,1,1,6,5,4,3,1,2,6,6,7
110,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive,61,Male,TikTok,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,1,4,2,2,2
111,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,30,Female,TikTok,5,5,4,5,1,1,1,1,1,1,6,3,5,1,6,4,5,1,1,3,2,4,3,3,6
112,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,53,Female,TikTok,7,7,7,7,6,6,6,6,3,4,7,1,3,5,5,1,6,6,3,4,2,1,1,1,1
113,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive,53,Female,TikTok,6,6,7,5,4,3,5,4,2,1,2,2,6,1,2,6,5,1,3,1,2,4,1,1,6
114,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,20,Female,TikTok,3,2,1,4,3,4,1,4,3,1,3,3,2,1,7,1,6,4,1,4,2,3,4,4,5
115,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,29,Male,TikTok,1,1,1,1,1,1,1,1,4,1,7,1,1,1,4,4,4,4,4,3,2,1,1,1,1
116,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,29,Female,TikTok,2,2,2,4,5,5,4,6,3,6,6,6,6,5,3,3,6,6,3,4,1,2,2,2,2
117,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,38,Female,TikTok,4,4,3,2,1,1,1,1,1,1,6,5,6,1,7,1,5,1,NA,NA,NA,NA,5,5,7
118,InstrumentalHarm,Hostage,NormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,22,Male,TikTok,4,4,3,3,5,5,5,5,3,2,3,4,5,1,5,5,6,1,3,2,1,4,3,3,6
119,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,38,Female,TikTok,6,6,6,6,2,2,2,2,1,1,7,1,5,1,7,1,1,4,1,4,3,2,1,1,1
120,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,28,Female,Facebook,7,7,6,7,7,7,6,7,7,3,7,2,1,1,7,4,7,5,1,4,2,3,1,1,1
121,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,61,Male,TikTok,1,1,1,1,6,6,6,6,4,7,7,1,1,1,7,1,3,1,1,3,2,4,1,1,1
122,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,19,Male,TikTok,3,2,4,4,1,1,1,1,3,4,4,4,7,1,5,5,3,2,4,3,2,1,5,5,7
123,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological,31,Female,TikTok,6,7,5,7,1,1,1,1,2,2,6,5,5,1,2,5,6,2,3,2,1,4,2,2,3
124,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,53,Non-binary / third gender,TikTok,3,3,2,2,3,3,2,3,1,1,5,1,4,2,4,1,6,6,3,4,2,1,1,1,1
125,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,26,Female,TikTok,5,5,6,6,2,2,4,3,6,5,6,4,5,2,4,3,4,6,3,4,2,1,2,2,4
126,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,24,Female,TikTok,5,5,5,5,6,6,6,7,5,3,6,4,5,1,5,1,4,7,2,4,3,1,4,4,5
127,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,43,Female,TikTok,4,4,3,3,1,1,1,1,4,5,3,5,5,1,5,5,6,2,3,2,1,4,2,2,6
128,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,25,Female,TikTok,5,5,3,6,2,2,1,2,2,2,6,1,5,5,2,5,6,3,2,4,1,3,6,6,7
129,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,36,Female,TikTok,3,3,1,3,4,4,4,4,4,2,7,1,4,3,4,4,4,4,1,2,4,3,2,2,5
130,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,70,Male,TikTok,7,7,5,7,7,7,5,7,4,4,7,1,4,3,5,3,4,3,4,1,3,2,1,1,1
131,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,56,Non-binary / third gender,TikTok,4,3,2,2,1,1,1,1,1,1,2,6,7,1,1,5,4,1,3,1,2,4,5,5,7
132,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,32,Male,TikTok,7,7,7,7,7,7,7,7,5,1,7,1,4,1,6,4,4,4,1,3,2,4,1,1,1
133,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive,39,Female,TikTok,7,7,7,7,3,2,1,1,4,5,6,4,1,1,1,1,5,2,3,2,1,4,1,1,1
134,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,36,Male,TikTok,1,1,1,1,1,1,1,1,2,1,7,1,5,1,7,2,4,6,1,4,3,2,1,1,1
135,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,51,Male,TikTok,6,6,6,6,7,6,6,6,5,2,7,1,1,1,7,1,1,1,1,4,2,3,1,1,1
136,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,62,Female,TikTok,7,6,5,6,2,2,2,2,3,1,6,2,5,2,5,2,4,2,1,4,2,3,1,1,3
137,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,43,Female,TikTok,6,6,5,6,3,2,3,3,6,7,6,3,5,2,4,4,1,6,3,2,4,1,1,1,1
138,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,65,Female,TikTok,7,6,7,7,1,1,1,1,2,1,7,1,1,1,7,1,1,1,1,4,2,3,1,1,1
139,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,60,Female,TikTok,3,3,5,3,2,2,2,2,5,4,4,4,4,2,4,4,5,2,3,2,1,4,4,4,6
140,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,58,Female,TikTok,4,3,2,3,2,1,2,1,6,6,4,4,5,1,6,1,3,6,1,4,3,2,4,4,5
141,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,58,Female,TikTok,3,1,1,1,2,2,1,2,1,3,1,1,2,1,7,1,5,3,1,4,2,3,1,1,1
142,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,58,Female,TikTok,3,3,1,4,2,2,1,3,1,1,6,1,1,1,7,1,4,3,1,4,3,2,1,1,1
143,InstrumentalHarm,Hostage,NormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,61,Female,TikTok,6,6,5,6,6,6,5,6,4,2,4,5,6,2,3,3,2,6,1,3,2,4,2,2,5
144,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,20,Male,TikTok,6,5,7,5,4,3,5,4,3,5,6,4,5,2,2,4,6,1,2,3,4,1,5,5,7
145,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,29,Female,TikTok,5,5,3,5,5,5,2,5,1,1,7,5,6,1,6,3,5,1,1,3,2,4,4,4,6
146,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,33,Female,TikTok,6,6,7,6,5,5,6,6,7,7,4,4,5,5,3,6,7,7,3,4,1,2,2,2,6
147,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,61,Male,TikTok,7,7,4,6,7,7,4,7,6,3,7,1,4,2,7,1,3,5,1,4,3,2,1,1,1
148,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,56,Male,TikTok,6,5,5,5,2,1,1,1,3,2,6,1,4,2,6,2,3,3,1,4,2,3,1,1,1
149,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,56,Female,TikTok,1,1,1,1,1,1,1,1,1,1,6,1,2,1,7,1,1,1,1,2,4,3,1,1,1
150,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive,77,Female,TikTok,5,5,5,6,4,4,4,4,3,3,5,5,6,4,3,5,5,5,4,3,1,2,1,1,6
151,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyIrrelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,33,Non-binary / third gender,TikTok,4,4,6,3,6,4,6,3,3,2,4,4,4,1,5,3,5,7,2,1,3,4,3,3,3
152,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian,61,Male,TikTok,4,4,4,4,4,4,4,4,4,4,4,2,4,1,4,4,4,1,2,3,1,4,2,2,4
153,InstrumentalHarm,Bomb,NormativelySensitive,MorallyIrrelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,28,Female,TikTok,6,7,6,6,4,5,4,4,2,3,6,1,4,2,7,1,2,3,1,4,3,2,1,1,1
154,InstrumentalHarm,Hostage,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive,48,Female,TikTok,7,7,7,7,5,4,4,4,5,7,7,1,7,1,7,1,7,1,2,3,1,4,1,1,6
155,InstrumentalHarm,Bomb,NonNormativelySensitive,MorallyRelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive,19,Male,TikTok,6,5,2,4,1,1,1,1,7,7,6,6,7,1,4,1,2,7,2,4,3,1,5,5,7
156,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive_ConsistentlyDeontological,22,Female,TikTok,4,3,2,4,2,2,1,1,3,2,1,5,6,2,1,6,7,2,4,2,1,3,6,6,7
157,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,19,Male,TikTok,6,6,7,7,6,6,7,5,7,5,7,4,6,1,7,7,4,7,3,2,4,1,1,1,3
158,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,65,Female,TikTok,6,6,6,6,6,6,5,5,3,3,6,6,6,3,5,5,4,3,2,1,3,4,5,1,6
159,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_NormativelySensitive_ConsistentlyDeontological_NonNormativelySensitive,26,Female,TikTok,5,5,5,5,1,1,1,1,1,1,6,6,6,1,7,5,7,1,2,3,1,4,4,4,6
160,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,45,Female,TikTok,6,6,4,6,7,7,4,6,5,7,1,7,6,3,7,1,2,7,1,3,4,2,5,5,6
161,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,30,Female,TikTok,5,5,6,5,4,4,5,4,3,3,6,4,5,4,5,5,6,3,2,3,1,4,1,1,4
162,InstrumentalHarm,Bomb,ConsistentlyDeontological,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian,48,Male,TikTok,4,4,4,4,5,5,5,5,4,5,4,4,5,4,4,4,5,4,4,2,1,3,4,4,5
163,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological,28,Male,Newspapers,2,1,3,1,2,2,2,3,2,2,4,3,4,3,3,4,3,2,2,4,3,1,6,5,7
164,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive_NonNormativelySensitive,47,Male,TikTok,7,7,7,7,5,5,5,5,5,5,7,7,7,2,7,7,7,7,NA,NA,NA,NA,5,4,4
165,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,41,Female,TikTok,4,4,2,3,4,3,3,3,2,1,6,4,4,3,7,4,4,3,2,4,1,3,2,2,2
166,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive,36,Male,TikTok,5,4,5,5,5,5,4,5,2,2,6,4,5,4,3,2,3,2,3,1,2,4,5,4,5
167,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,ConsistentlyUtilitarian_NonNormativelySensitive_NormativelySensitive_ConsistentlyDeontological,29,Female,TikTok,6,6,7,7,7,7,7,7,7,7,6,1,4,1,7,1,6,2,1,4,2,3,1,1,4
168,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyRelevant_First,NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive,44,Male,TikTok,7,7,7,7,7,7,7,6,7,5,7,6,4,1,6,1,3,7,3,1,2,4,7,7,7
169,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,ConsistentlyUtilitarian_ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive,40,Male,TikTok,7,7,7,7,6,6,6,6,3,2,7,1,5,1,7,3,6,1,1,3,2,4,1,1,4
170,InstrumentalHarm,Hostage,NonNormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological_NormativelySensitive,39,Female,TikTok,7,6,6,7,6,5,5,6,2,1,6,1,6,2,6,1,3,4,4,1,2,3,1,1,3
171,InstrumentalHarm,EnemySpy,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,44,Male,TikTok,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,4,1,2,7,7,7
172,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,51,Female,TikTok,4,1,1,2,3,1,1,3,2,1,6,1,3,1,7,1,6,5,1,4,2,3,1,1,1
173,InstrumentalHarm,Bomb,NormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,19,Female,Newspapers,1,1,1,1,4,5,5,6,7,7,6,4,3,5,7,2,2,3,1,3,4,2,6,5,4
174,InstrumentalHarm,EnemySpy,ConsistentlyDeontological,MorallyIrrelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,35,Male,TikTok,4,5,3,4,3,3,3,4,2,1,7,4,3,5,2,2,2,3,3,4,1,2,7,7,7
175,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyIrrelevant_First,ConsistentlyDeontological_NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian,43,Female,TikTok,6,6,7,7,1,1,1,1,1,1,7,3,6,1,6,1,7,1,2,3,1,4,2,2,4
176,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_ConsistentlyUtilitarian_NormativelySensitive,69,Male,TikTok,3,2,2,3,5,3,2,3,2,3,5,4,5,3,6,2,3,3,4,1,2,3,2,2,3
177,InstrumentalHarm,Hostage,NormativelySensitive,MorallyRelevant_First,ConsistentlyDeontological_NormativelySensitive_ConsistentlyUtilitarian_NonNormativelySensitive,66,Male,TikTok,7,7,7,7,6,5,6,5,4,6,7,1,5,1,6,3,4,5,1,4,3,2,1,1,3
178,InstrumentalHarm,EnemySpy,NonNormativelySensitive,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian,24,Female,TikTok,4,3,6,4,1,1,2,1,5,6,6,6,5,2,2,3,6,5,4,3,1,2,3,3,5
179,InstrumentalHarm,Bomb,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_NonNormativelySensitive_ConsistentlyUtilitarian_ConsistentlyDeontological,34,Male,TikTok,6,6,6,6,6,6,6,6,4,4,4,6,5,1,1,4,5,4,4,3,1,2,7,7,7
180,InstrumentalHarm,Hostage,NormativelySensitive,MorallyIrrelevant_First,NonNormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NormativelySensitive,67,Female,TikTok,4,4,4,4,4,4,4,4,5,1,7,1,4,1,5,1,4,1,1,3,2,4,1,1,4
181,InstrumentalHarm,EnemySpy,ConsistentlyUtilitarian,MorallyRelevant_First,NormativelySensitive_ConsistentlyDeontological_ConsistentlyUtilitarian_NonNormativelySensitive,35,Female,TikTok,3,2,1,5,4,2,1,5,7,6,3,3,3,3,4,4,4,4,2,3,4,1,4,5,5
182,InstrumentalHarm,Hostage,ConsistentlyUtilitarian,MorallyRelevant_First,ConsistentlyDeontological_NonNormativelySensitive_NormativelySensitive_ConsistentlyUtilitarian,46,Male,TikTok,3,3,5,4,3,3,5,4,6,1,6,2,4,5,5,2,2,5,2,3,4,1,1,1,1
